"","Condition","Serotype","Source","Day","Strain","Replicate","Minus","Plus","Log_RD"
"1","BHI","1/2a","Environment",1,"FSL L4-0396",1,6.16,4.61,1.55
"2","BHI","1/2a","Salmon",1,"FSL F2-0237",1,6.36,5.05,1.31
"3","BHI","1/2b","Environment",1,"FSL L4-0060",1,6.2,4.63,1.57
"4","BHI","1/2b","Salmon",1,"FSL L3-0051",1,6.3,3.85,2.45
"5","BHI","4b","Environment",1,"FSL N1-0061",1,6.45,4.92,1.53
"6","BHI","4b","Salmon",1,"FSL F2-0310",1,6.48,4.71,1.77
"7","BHI","1/2a","Environment",15,"FSL L4-0396",1,8.86,6.44,2.42
"8","BHI","1/2a","Salmon",15,"FSL F2-0237",1,8.44,8.3,0.139999999999999
"9","BHI","1/2b","Environment",15,"FSL L4-0060",1,9.13,5.18,3.95
"10","BHI","1/2b","Salmon",15,"FSL L3-0051",1,8.17,5.29,2.88
"11","BHI","4b","Environment",15,"FSL N1-0061",1,8.62,7.7,0.919999999999999
"12","BHI","4b","Salmon",15,"FSL F2-0310",1,8.42,5.98,2.44
"13","BHI","1/2a","Environment",30,"FSL L4-0396",1,9.31,7.86,1.45
"14","BHI","1/2a","Salmon",30,"FSL F2-0237",1,8.74,8.26,0.48
"15","BHI","1/2b","Environment",30,"FSL L4-0060",1,9.34,7.69,1.65
"16","BHI","1/2b","Salmon",30,"FSL L3-0051",1,9.09,4.68,4.41
"17","BHI","4b","Environment",30,"FSL N1-0061",1,9.08,6.54,2.54
"18","BHI","4b","Salmon",30,"FSL F2-0310",1,9.49,5.88,3.61
"19","BHI","1/2a","Environment",1,"FSL L4-0396",2,6.01,5.6,0.41
"20","BHI","1/2a","Salmon",1,"FSL F2-0237",2,6.45,5.12,1.33
"21","BHI","1/2b","Environment",1,"FSL L4-0060",2,6.48,4.97,1.51
"22","BHI","1/2b","Salmon",1,"FSL L3-0051",2,6.1,5.08,1.02
"23","BHI","4b","Environment",1,"FSL N1-0061",2,6.46,5.45,1.01
"24","BHI","4b","Salmon",1,"FSL F2-0310",2,6.15,5.58,0.57
"25","BHI","1/2a","Environment",15,"FSL L4-0396",2,9.05,7.15,1.9
"26","BHI","1/2a","Salmon",15,"FSL F2-0237",2,8.95,8.52,0.43
"27","BHI","1/2b","Environment",15,"FSL L4-0060",2,9.19,8.46,0.729999999999999
